County,Precinct,CD,Clinton,Trump,Total,Other
Tiverton,Tiverton Presidential,1,42,53,97,2
Warren,Warren 3401,1,655,442,1166,69
Warren,Warren 3402,1,837,782,1702,83
Warren,Warren 3403,1,1164,732,1998,102
Warren,Warren Limited,1,0,0,0,0
Warren,Warren Presidential,1,29,31,64,4
Warwick,Warwick 3501,2,1049,733,1886,104
Warwick,Warwick 3502,2,929,714,1729,86
Warwick,Warwick 3503,2,482,375,901,44
Warwick,Warwick 3504,2,859,488,1421,74
Warwick,Warwick 3505,2,318,313,663,32
Warwick,Warwick 3506,2,292,295,636,49
Warwick,Warwick 3507,2,171,128,316,17
Warwick,Warwick 3508,2,727,621,1433,85
Warwick,Warwick 3509,2,180,146,341,15
Warwick,Warwick 3510,2,542,440,1032,50
Warwick,Warwick 3511,2,821,717,1601,63
Warwick,Warwick 3512,2,517,501,1080,62
Warwick,Warwick 3513,2,723,714,1531,94
Warwick,Warwick 3514,2,910,892,1895,93
Warwick,Warwick 3515,2,860,883,1839,96
Warwick,Warwick 3516,2,236,253,521,32
Warwick,Warwick 3517,2,257,310,607,40
Warwick,Warwick 3518,2,874,927,1914,113
Warwick,Warwick 3519,2,856,929,1894,109
Warwick,Warwick 3520,2,674,652,1398,72
Warwick,Warwick 3521,2,615,629,1324,80
Warwick,Warwick 3522,2,479,519,1060,62
Warwick,Warwick 3523,2,839,805,1738,94
Warwick,Warwick 3524,2,555,562,1184,67
Warwick,Warwick 3525,2,636,651,1347,60
Warwick,Warwick 3526,2,245,180,441,16
Warwick,Warwick 3527,2,611,564,1259,84
Warwick,Warwick 3528,2,372,269,677,36
Warwick,Warwick 3529,2,615,578,1244,51
Warwick,Warwick 3530,2,868,776,1710,66
Warwick,Warwick 3531,2,1058,880,2013,75
Warwick,Warwick 3532,2,353,330,726,43
Warwick,Warwick 3533,2,364,354,754,36
Warwick,Warwick Limited,2,1,0,1,0
Warwick,Warwick Presidential,2,150,210,368,8
West Greenwich,West Greenwich 3701,2,378,591,1038,69
West Greenwich,West Greenwich 3702,2,324,473,841,44
West Greenwich,West Greenwich 3703,2,224,437,704,43
West Greenwich,West Greenwich 3704,2,220,421,680,39
West Greenwich,West Greenwich Limited,2,3,6,9,0
West Greenwich,West Greenwich Presidential,2,10,25,38,3
West Warwick,West Warwick 3801,2,521,522,1097,54
West Warwick,West Warwick 3802,2,360,336,739,43
West Warwick,West Warwick 3803,2,246,243,518,29
West Warwick,West Warwick 3804,2,949,1057,2098,92
West Warwick,West Warwick 3805,2,342,371,740,27
West Warwick,West Warwick 3806,2,318,354,705,33
West Warwick,West Warwick 3807,2,914,839,1845,92
West Warwick,West Warwick 3808,2,719,829,1630,82
West Warwick,West Warwick 3809,2,624,610,1275,41
West Warwick,West Warwick 3810,2,452,455,952,45
West Warwick,West Warwick Limited,2,2,5,7,0
West Warwick,West Warwick Presidential,2,93,103,204,8
Westerly,Westerly 3601,2,340,380,751,31
