County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
McCulloch,McCulloch,11,482,"2,552","3,094",,,,,,,,,,,,,,,,,,,,,
McLennan,McLennan,17,"27,063","48,260","78,288",,,,,,,,,,,,,,,,,,,,,
McMullen,McMullen,28,40,454,497,,,,,,,,,,,,,,,,,,,,,
Medina,Medina,23,"4,634","12,085","17,228",,,,,,,,,,,,,,,,,,,,,
Menard,Menard,11,154,682,862,,,,,,,,,,,,,,,,,,,,,
Midland,Midland,11,"10,025","36,973","48,868",,,,,,,,,,,,,,,,,,,,,
Milam,Milam,17,"2,051","6,364","8,642",,,,,,,,,,,,,,,,,,,,,
Mills,Mills,11,243,"1,951","2,241",,,,,,,,,,,,,,,,,,,,,
Mitchell,Mitchell,11,354,"1,780","2,191",,,,,,,,,,,,,,,,,,,,,
Montague,Montague,13,885,"7,526","8,604",,,,,,,,,,,,,,,,,,,,,
Montgomery,Montgomery,8,"45,835","150,314","203,309",,,,,,,,,,,,,,,,,,,,,
Moore,Moore,13,"1,098","3,977","5,267",,,,,,,,,,,,,,,,,,,,,
Morris,Morris,4,"1,425","3,446","4,967",,,,,,,,,,,,,,,,,,,,,
Motley,Motley,13,40,566,615,,,,,,,,,,,,,,,,,,,,,
Nacogdoches,Nacogdoches,1,"6,846","14,771","22,478",,,,,,,,,,,,,,,,,,,,,
Navarro,Navarro,6,"4,002","11,994","16,397",,,,,,,,,,,,,,,,,,,,,
Newton,Newton,36,"1,156","4,288","5,523",,,,,,,,,,,,,,,,,,,,,
Nolan,Nolan,19,"1,029","3,552","4,745",,,,,,,,,,,,,,,,,,,,,
Nueces,Nueces,27,"49,198","50,766","104,135",,,,,,,,,,,,,,,,,,,,,
Ochiltree,Ochiltree,13,274,"2,628","2,982",,,,,,,,,,,,,,,,,,,,,
Oldham,Oldham,13,78,850,945,,,,,,,,,,,,,,,,,,,,,
Orange,Orange,36,"5,735","25,513","31,913",,,,,,,,,,,,,,,,,,,,,
Palo Pinto,PaloPinto,11,"1,708","8,284","10,250",,,,,,,,,,,,,,,,,,,,,
Panola,Panola,1,"1,835","8,445","10,413",,,,,,,,,,,,,,,,,,,,,
Parker,Parker,12,"8,344","46,473","56,471",,,,,,,,,,,,,,,,,,,,,
Parmer,Parmer,19,485,"1,915","2,459",,,,,,,,,,,,,,,,,,,,,
Pecos,Pecos,23,"1,554","2,468","4,175",,,,,,,,,,,,,,,,,,,,,
Polk,Polk,36,"4,187","15,176","19,816",,,,,,,,,,,,,,,,,,,,,
Potter,Potter,13,"7,657","19,630","28,505",,,,,,,,,,,,,,,,,,,,,
Presidio,Presidio,23,"1,458",652,"2,203",,,,,,,,,,,,,,,,,,,,,
Rains,Rains,4,628,"3,968","4,691",,,,,,,,,,,,,,,,,,,,,
Randall,Randall,13,"8,367","43,462","53,929",,,,,,,,,,,,,,,,,,,,,
Reagan,Reagan,23,167,709,900,,,,,,,,,,,,,,,,,,,,,
Real,Real,21,262,"1,382","1,678",,,,,,,,,,,,,,,,,,,,,
Red River,RedRiver,4,"1,149","3,926","5,150",,,,,,,,,,,,,,,,,,,,,
Reeves,Reeves,23,"1,659","1,417","3,184",,,,,,,,,,,,,,,,,,,,,
Refugio,Refugio,27,"1,034","1,830","2,945",,,,,,,,,,,,,,,,,,,,,
Roberts,Roberts,13,20,524,550,,,,,,,,,,,,,,,,,,,,,
Robertson,Robertson,17,"2,203","4,668","7,013",,,,,,,,,,,,,,,,,,,,,
Rockwall,Rockwall,4,"9,655","28,451","39,618",,,,,,,,,,,,,,,,,,,,,
Runnels,Runnels,11,453,"3,250","3,776",,,,,,,,,,,,,,,,,,,,,
Rusk,Rusk,1,"3,935","14,675","18,994",,,,,,,,,,,,,,,,,,,,,
Sabine,Sabine,1,614,"3,998","4,648",,,,,,,,,,,,,,,,,,,,,
San Augustine,SanAugustine,1,910,"2,622","3,568",,,,,,,,,,,,,,,,,,,,,
San Jacinto,SanJacinto,8,"2,038","8,059","10,319",,,,,,,,,,,,,,,,,,,,,
San Saba,SanSaba,11,293,"2,025","2,354",,,,,,,,,,,,,,,,,,,,,
